,Issue Date,License Expiration Date,Reroof Type,Address,Latitude/Longitude
0,01/08/2013,03/31/2014,Class A or B,"19515 S VERMONT AVE Los Angeles CA, 90502","(33.85325, -118.29073)"
1,01/11/2013,06/30/2013,Class A or B,"606 S OLIVE ST Los Angeles CA, 90014","(34.04779, -118.2542)"
2,01/11/2013,06/30/2013,Class A or B,"2119 N BROADWAY Los Angeles CA, 90031",
3,01/17/2013,07/31/2014,Built Up,"8318 N DE SOTO AVE Los Angeles CA, 91304","(34.22056, -118.58831)"
4,01/28/2013,08/31/2014,REMOVE EXISTING SHINGLES; REROOF IN 30 YEAR CHINGLES OVER (1)  1.5 LB,"2716 S STANFORD AVE Los Angeles CA, 90011","(34.01936, -118.26024)"
5,01/29/2013,03/31/2014,Built Up,"2379 S WESTWOOD BLVD Los Angeles CA, 90064","(34.04076, -118.42925)"
6,01/30/2013,12/31/2013,REROOF 70 SQUARES W/CLASS 'A' MATERIALS WEIGHING LESS THAN 6 POUNDS PE,"830 E 59TH ST Los Angeles CA, 90001","(33.98709, -118.26016)"
7,02/01/2013,06/30/2013,Class A or B,"3515 W WILSHIRE BLVD Los Angeles CA, 90010","(34.0619, -118.30094)"
8,02/11/2013,06/30/2014,Comp Shingle,"1496 W COLORADO BLVD Los Angeles CA, 90041","(34.13903, -118.19796)"
9,02/13/2013,01/31/2014,Built Up,"1100 S LA CIENEGA BLVD Los Angeles CA, 90035","(34.05679, -118.37597)"
10,02/14/2013,06/30/2014,Built Up,"4024 N RADFORD AVE Los Angeles CA, 91604",
11,02/20/2013,06/30/2013,Class A or B,"5655 W ADAMS BLVD Los Angeles CA, 90016","(34.03262, -118.36664)"
12,02/21/2013,10/31/2013,Built Up,"18026 W VENTURA BLVD Los Angeles CA, 91316","(34.16463, -118.5254)"
13,02/27/2013,05/31/2014,Tear off existing roofing material and reroof with 30yr shingles.,"13020 W SAN VICENTE BLVD Los Angeles CA, 90049","(34.04845, -118.49051)"
14,02/27/2013,05/31/2014,Reroof with torch down roofing system,"1201 S LA BREA AVE Los Angeles CA, 90019","(34.05316, -118.34389)"
15,02/28/2013,04/30/2014,Built Up,"651 N LA CIENEGA BLVD Los Angeles CA, 90069","(34.08342, -118.37669)"
16,02/28/2013,07/31/2013,"T/O ROOFING, RESHEATH, AND REROOF. REMOVE AND REPLACE ONE DAMAGED ROOF","5132 W JEFFERSON BLVD Los Angeles CA, 90016","(34.02537, -118.35637)"
17,03/01/2013,01/31/2014,Class A or B,"1019 N AVALON BLVD Los Angeles CA, 90744","(33.78343, -118.26286)"
18,03/05/2013,06/30/2013,Class A or B,"7625 W MELROSE AVE Los Angeles CA, 90046","(34.08384, -118.35612)"
19,03/05/2013,10/31/2013,Built Up,"2301 W BELLEVUE AVE Los Angeles CA, 90026","(34.07417, -118.26931)"
20,03/07/2013,02/28/2014,Comp Shingle,"1043 S ABBOT KINNEY BLVD Los Angeles CA, 90291","(33.99203, -118.47099)"
21,03/08/2013,07/31/2014,Class A or B,"24911 S WESTERN AVE Los Angeles CA, 90717","(33.79838, -118.30784)"
22,04/08/2013,08/31/2014,Built Up,"921 N LA CIENEGA BLVD Los Angeles CA, 90069","(34.08754, -118.37658)"
23,04/10/2013,06/30/2014,Built Up,"4024 N RADFORD AVE Los Angeles CA, 91604",
24,04/17/2013,02/28/2014,Built Up,"7955 W 3RD ST Los Angeles CA, 90048","(34.07193, -118.36338)"
25,04/18/2013,06/30/2014,Built Up,"4024 N RADFORD AVE Los Angeles CA, 91604",
26,04/18/2013,06/30/2014,Built Up,"4024 N RADFORD AVE Los Angeles CA, 91604",
27,04/18/2013,06/30/2014,Built Up,"4024 N RADFORD AVE Los Angeles CA, 91604",
28,04/22/2013,12/31/2013,Built Up,"6859 N VALJEAN AVE Los Angeles CA, 91406","(34.19566, -118.48601)"
29,04/22/2013,06/30/2014,Comp Shingle,"18224 W PARTHENIA ST Los Angeles CA, 91325","(34.22854, -118.53041)"
30,04/25/2013,03/31/2014,Class A or B,"10807 N SAN FERNANDO ROAD Los Angeles CA, 91331","(34.26639, -118.42263)"
31,05/02/2013,09/30/2014,Built Up,"1010 N HIGHLAND AVE Los Angeles CA, 90038","(34.08928, -118.33841)"
32,05/08/2013,12/31/2013,Built Up,"20540 W SUPERIOR ST Los Angeles CA, 91311","(34.24626, -118.58135)"
33,05/08/2013,05/31/2013,Built Up,"6622 W MELROSE AVE Los Angeles CA, 90036","(34.0833, -118.33943)"
34,05/10/2013,09/30/2013,Built Up,"19761 W BAHAMA ST Los Angeles CA, 91324","(34.23351, -118.56404)"
35,05/10/2013,04/30/2015,Built Up,"12201 W VENICE BLVD Los Angeles CA, 90066","(34.00495, -118.43162)"
